Date,Price
12/21/2012,88
12/22/2012,89
12/23/2012,89
12/24/2012,84
12/25/2012,83
12/26/2012,88
12/27/2012,88
12/28/2012,98
12/29/2012,92
12/30/2012,102
12/31/2012,96
1/1/2013,100
1/2/2013,95
1/3/2013,93
1/4/2013,98
1/5/2013,100
1/6/2013,93
1/7/2013,93
1/8/2013,93
1/9/2013,92
1/10/2013,94
1/11/2013,96
1/12/2013,106
1/13/2013,103
1/14/2013,101
1/15/2013,99
1/16/2013,90
1/17/2013,100
1/18/2013,102
1/19/2013,102
1/20/2013,99
1/21/2013,104
1/22/2013,97
1/23/2013,100
1/24/2013,104
1/25/2013,101
1/26/2013,105
1/27/2013,103
1/28/2013,101
1/29/2013,99
1/30/2013,102
1/31/2013,99
2/1/2013,108
2/2/2013,111
2/3/2013,114
2/4/2013,110
2/5/2013,108
2/6/2013,103
2/7/2013,106
2/8/2013,110
2/9/2013,111
2/10/2013,117
2/11/2013,113
2/12/2013,115
2/13/2013,116
2/14/2013,122
2/15/2013,128
2/16/2013,122
2/17/2013,132
2/18/2013,132
2/19/2013,118
2/20/2013,110
2/21/2013,134
2/22/2013,124
2/23/2013,129
2/24/2013,131
2/25/2013,134
2/26/2013,131
2/27/2013,129
2/28/2013,130
3/1/2013,138
3/2/2013,134
3/3/2013,125
3/4/2013,135
3/5/2013,131
3/6/2013,135
3/7/2013,140
3/8/2013,147
3/9/2013,142
3/10/2013,139
3/11/2013,130
3/12/2013,140
3/13/2013,137
3/14/2013,139
3/15/2013,144
3/16/2013,152
3/17/2013,144
3/18/2013,143
3/19/2013,137
3/20/2013,138
3/21/2013,144
3/22/2013,157
3/23/2013,141
3/24/2013,132
3/25/2013,134
3/26/2013,136
3/27/2013,132
3/28/2013,124
3/29/2013,124
3/30/2013,120
3/31/2013,120
4/1/2013,117
4/2/2013,118
4/3/2013,118
4/4/2013,127
4/5/2013,120
4/6/2013,123
4/7/2013,115
4/8/2013,123
4/9/2013,118
4/10/2013,113
4/11/2013,118
4/12/2013,113
4/13/2013,108
4/14/2013,109
4/15/2013,113
4/16/2013,113
4/17/2013,116
4/18/2013,119
4/19/2013,115
4/20/2013,108
4/21/2013,107
4/22/2013,112
4/23/2013,102
4/24/2013,109
4/25/2013,105
4/26/2013,111
4/27/2013,108
4/28/2013,106
4/29/2013,113
4/30/2013,107
5/1/2013,105
5/2/2013,105
5/3/2013,107
5/4/2013,101
5/5/2013,115
5/6/2013,101
5/7/2013,111
5/8/2013,105
5/9/2013,108
5/10/2013,105
5/11/2013,102
5/12/2013,101
5/13/2013,109
5/14/2013,96
5/15/2013,95
5/16/2013,105
5/17/2013,107
5/18/2013,94
5/19/2013,108
5/20/2013,110
5/21/2013,101
5/22/2013,101
5/23/2013,101
5/24/2013,106
5/25/2013,91
5/26/2013,95
5/27/2013,101
5/28/2013,103
5/29/2013,99
5/30/2013,104
5/31/2013,108
6/1/2013,105
6/2/2013,98
6/3/2013,102
6/4/2013,101
6/5/2013,104
6/6/2013,108
6/7/2013,105
6/8/2013,96
6/9/2013,103
6/10/2013,107
6/11/2013,99
6/12/2013,104
6/13/2013,105
6/14/2013,105
6/15/2013,101
6/16/2013,105
6/17/2013,102
6/18/2013,117
6/19/2013,109
6/20/2013,104
6/21/2013,104
6/22/2013,92
6/23/2013,110
6/24/2013,98
6/25/2013,100
6/26/2013,102
6/27/2013,99
6/28/2013,100
6/29/2013,97
6/30/2013,102
7/1/2013,105
7/2/2013,106
7/3/2013,104
7/4/2013,90
7/5/2013,91
7/6/2013,101
7/7/2013,103
7/8/2013,109
7/9/2013,109
7/10/2013,98
7/11/2013,91
7/12/2013,103
7/13/2013,94
7/14/2013,104
7/15/2013,103
7/16/2013,106
7/17/2013,114
7/18/2013,99
7/19/2013,105
7/20/2013,95
7/21/2013,105
7/22/2013,108
7/23/2013,104
7/24/2013,103
7/25/2013,102
7/26/2013,100
7/27/2013,97
7/28/2013,94
7/29/2013,101
7/30/2013,96
7/31/2013,102
8/1/2013,103
8/2/2013,98
8/3/2013,93
8/4/2013,107
8/5/2013,98
8/6/2013,107
8/7/2013,104
8/8/2013,102
8/9/2013,107
8/10/2013,101
8/11/2013,94
8/12/2013,102
8/13/2013,108
8/14/2013,97
8/15/2013,108
8/16/2013,103
8/17/2013,104
8/18/2013,94
8/19/2013,94
8/20/2013,104
8/21/2013,99
8/22/2013,99
8/23/2013,100
8/24/2013,95
8/25/2013,99
8/26/2013,99
8/27/2013,94
8/28/2013,89
8/29/2013,92
8/30/2013,104
8/31/2013,88
9/1/2013,102
9/2/2013,93
9/3/2013,92
9/4/2013,91
9/5/2013,97
9/6/2013,94
9/7/2013,97
9/8/2013,94
9/9/2013,101
9/10/2013,91
9/11/2013,105
9/12/2013,97
9/13/2013,96
9/14/2013,100
9/15/2013,96
9/16/2013,101
9/17/2013,92
9/18/2013,94
9/19/2013,94
9/20/2013,97
9/21/2013,96
9/22/2013,89
9/23/2013,92
9/24/2013,109
9/25/2013,95
9/26/2013,92
9/27/2013,95
9/28/2013,97
9/29/2013,89
9/30/2013,96
10/1/2013,103
10/2/2013,99
10/3/2013,96
10/4/2013,101
10/5/2013,94
10/6/2013,102
10/7/2013,97
10/8/2013,95
10/9/2013,101
10/10/2013,98
10/11/2013,102
10/12/2013,95
10/13/2013,97
10/14/2013,100
10/15/2013,105
10/16/2013,105
10/17/2013,94
10/18/2013,94
10/19/2013,91
10/20/2013,96
10/21/2013,89
10/22/2013,95
10/23/2013,89
10/24/2013,96
10/25/2013,102
10/26/2013,93
10/27/2013,93
10/28/2013,92
10/29/2013,98
10/30/2013,97
10/31/2013,86
11/1/2013,97
11/2/2013,94
11/3/2013,93
11/4/2013,90
11/5/2013,90
11/6/2013,93
11/7/2013,96
11/8/2013,94
11/9/2013,95
